10.128.0.0/14 Region 1 (eu-west-1)

    "10.128.0.0/15","ns3.mediait.ch","Size M","7.0%"

        "10.130.13.0/24","StackId: arn:aws:cloudformation:eu-west-1:853429921224:stack/SC-853429921224-pp-pfwpb6z7ebuwm/b8993ba0-2d6c-11eb-ab40-0a4132d4caa7 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.14.0/24","StackId: arn:aws:cloudformation:eu-west-1:078453322683:stack/SC-078453322683-pp-v6ho6g462dcp4/fb1989f0-452a-11eb-8843-02ae0fe7ca0d LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.15.0/24","StackId: arn:aws:cloudformation:eu-west-1:411064266612:stack/SC-411064266612-pp-hta73ya5an7yo/c4fc94f0-49c3-11eb-aee9-02832e7883fd LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.16.0/24","StackId: arn:aws:cloudformation:eu-west-1:702942474976:stack/SC-702942474976-pp-evpxkpqy422v2/2278e110-4eb0-11eb-ad87-0a7fc4da8782 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.17.0/24","StackId: arn:aws:cloudformation:eu-west-1:013453632133:stack/SC-013453632133-pp-ed73d37rsijbc/26deeb30-97aa-11eb-9be3-0ae9a88ea315 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.18.0/24","StackId: arn:aws:cloudformation:eu-west-1:910220757785:stack/SC-910220757785-pp-tuir5zh23v4g6/6111ac80-0973-11ec-9f8a-06628ab878f9 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.19.0/24","StackId: arn:aws:cloudformation:eu-west-1:350774346140:stack/SC-350774346140-pp-cacn3bixbvxny/bcb71890-e498-11eb-a55e-0a353cf8aabd LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.20.0/24","StackId: arn:aws:cloudformation:eu-west-1:019490601891:stack/SC-019490601891-pp-plo5p2weloktw/bf6740e0-7937-11ec-ad90-02c8538f2843 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.21.0/24","StackId: arn:aws:cloudformation:eu-west-1:144183047489:stack/SC-144183047489-pp-ejsxzyhrb642g/5d12fbd0-9a27-11ec-8a61-02bf933744f1 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.22.0/24","StackId: arn:aws:cloudformation:eu-west-1:133998870989:stack/SC-133998870989-pp-a5qfwrsxgk6je/70c36dc0-ab72-11ec-8f3d-02aa4397177d LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.23.0/24","StackId: arn:aws:cloudformation:eu-west-1:078453322683:stack/SC-078453322683-pp-44vyjbarm3buo/88f021e0-0e73-11ed-8a30-02cb0866e39d LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.24.0/24","StackId: arn:aws:cloudformation:eu-west-1:794296798061:stack/SC-794296798061-pp-imzjccf2wxe3m/04ba2b80-29e6-11ed-bade-0a9ef07f7389 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.25.0/24","StackId: arn:aws:cloudformation:eu-west-1:533174132782:stack/SC-533174132782-pp-xxqezr5zxrzoc/35661070-29ee-11ed-aeb6-06b52efdc57f LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.26.0/24","StackId: arn:aws:cloudformation:eu-west-1:703991429509:stack/SC-703991429509-pp-olw3wklikr3pw/13dd8960-813c-11ed-b84e-02295523a5b3 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.27.0/24","StackId: arn:aws:cloudformation:eu-west-1:328722480406:stack/SC-328722480406-pp-7cmvbo3qcwdki/137cf830-a85f-11ed-8831-06f5ae97bde3 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.28.0/24","StackId: arn:aws:cloudformation:eu-west-1:908101911960:stack/SC-908101911960-pp-vijo47ocl5dqk/61d81890-1a72-11ee-b5d2-0add40a85c13 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.29.0/24","StackId: arn:aws:cloudformation:eu-west-1:013453632133:stack/SC-013453632133-pp-knt5cgmbeyeko/d84bee30-3c27-11ee-9ea6-0ae09904d3ef LogicalResourceId: VpcIpAddressesCustomResource",
